"Fecha","Total de casos","Entidad"
"2022-07-24",719,"OAXACA"
"2022-06-06",6123,"CIUDAD DE MÉXICO"
"2022-07-27",362,"MICHOACÁN DE OCAMPO"
"2022-08-10",54,"CAMPECHE"
"2022-07-09",985,"TAMAULIPAS"
"2022-07-17",791,"OAXACA"
"2022-07-05",1440,"QUERÉTARO"
"2022-07-26",626,"VERACRUZ DE IGNACIO DE LA LLAVE"
"2022-06-13",7361,"CIUDAD DE MÉXICO"
"2022-04-11",2907,"CIUDAD DE MÉXICO"
"2022-07-20",821,"TABASCO"
"2022-06-26",307,"GUERRERO"
"2022-03-21",2663,"CIUDAD DE MÉXICO"
"2022-07-06",658,"CHIHUAHUA"
"2022-06-30",724,"JALISCO"
"2022-08-05",649,"SINALOA"
"2022-02-22",5626,"CIUDAD DE MÉXICO"
"2022-03-05",2993,"CIUDAD DE MÉXICO"
"2022-03-16",3020,"CIUDAD DE MÉXICO"
"2022-06-27",180,"CHIAPAS"
"2022-07-23",330,"BAJA CALIFORNIA SUR"
"2022-06-25",422,"CHIHUAHUA"
"2022-07-22",957,"PUEBLA"
"2022-06-29",400,"CHIHUAHUA"
"2022-03-15",131,"CHIHUAHUA"
"2022-07-22",591,"QUERÉTARO"
"2022-08-07",175,"NAYARIT"
"2022-04-25",2977,"CIUDAD DE MÉXICO"
"2022-06-01",156,"VERACRUZ DE IGNACIO DE LA LLAVE"
"2022-06-28",869,"QUERÉTARO"
"2022-07-16",976,"QUERÉTARO"
"2022-08-05",390,"COAHUILA DE ZARAGOZA"
"2022-05-14",51,"HIDALGO"
"2022-05-18",363,"SAN LUIS POTOSÍ"
"2022-05-12",71,"BAJA CALIFORNIA SUR"
"2022-07-12",575,"MICHOACÁN DE OCAMPO"
"2022-08-07",61,"CAMPECHE"
"2022-08-08",66,"CAMPECHE"
"2021-02-03",867,"NUEVO LEÓN"
"2021-01-30",12317,"CIUDAD DE MÉXICO"
"2021-02-01",1435,"NUEVO LEÓN"
"2021-01-28",214,"HIDALGO"
"2021-02-02",202,"ZACATECAS"
"2021-01-21",19368,"CIUDAD DE MÉXICO"
"2021-02-02",395,"TAMAULIPAS"
"2021-01-31",240,"OAXACA"
"2021-01-27",613,"VERACRUZ DE IGNACIO DE LA LLAVE"
"2021-01-31",75,"NAYARIT"
"2021-01-29",205,"HIDALGO"
"2021-02-01",102,"COLIMA"
"2021-01-28",286,"ZACATECAS"
"2021-01-29",342,"TAMAULIPAS"
"2021-01-26",218,"OAXACA"
"2021-01-28",417,"TAMAULIPAS"
"2021-01-30",271,"BAJA CALIFORNIA"
"2021-01-18",674,"TAMAULIPAS"
"2021-01-21",822,"JALISCO"
"2021-02-02",236,"HIDALGO"
"2021-01-08",672,"COAHUILA DE ZARAGOZA"
"2021-01-08",954,"QUERÉTARO"
"2021-01-25",571,"BAJA CALIFORNIA SUR"
"2021-02-04",927,"GUANAJUATO"
"2021-02-01",286,"AGUASCALIENTES"
"2021-01-26",112,"NAYARIT"
"2021-01-12",995,"QUERÉTARO"
"2021-01-21",401,"BAJA CALIFORNIA"
"2021-01-13",465,"VERACRUZ DE IGNACIO DE LA LLAVE"
"2021-02-03",73,"COLIMA"
"2021-01-11",837,"MORELOS"
"2021-01-23",369,"GUERRERO"
"2021-01-26",89,"CAMPECHE"
"2021-01-16",1553,"NUEVO LEÓN"
"2021-01-15",1075,"SAN LUIS POTOSÍ"
"2021-01-01",1993,"GUANAJUATO"
"2021-01-05",1579,"MÉXICO"
"2021-01-31",52,"CAMPECHE"
"2021-02-05",343,"SONORA"
"2021-01-18",320,"ZACATECAS"
"2021-01-10",1614,"MÉXICO"
"2021-01-11",330,"TLAXCALA"
"2021-01-04",510,"VERACRUZ DE IGNACIO DE LA LLAVE"
"2021-01-17",313,"ZACATECAS"
"2021-01-06",840,"SAN LUIS POTOSÍ"
"2021-02-10",16964,"CIUDAD DE MÉXICO"
"2021-01-17",494,"TAMAULIPAS"
"2021-01-14",485,"VERACRUZ DE IGNACIO DE LA LLAVE"
"2021-01-11",263,"QUINTANA ROO"
"2021-01-03",1367,"MÉXICO"
"2021-01-08",1117,"PUEBLA"
"2021-01-12",1022,"PUEBLA"
"2021-01-16",339,"AGUASCALIENTES"
"2021-01-17",338,"HIDALGO"
"2021-01-12",313,"SINALOA"
"2021-02-06",714,"MÉXICO"
"2021-02-07",373,"SONORA"
"2021-01-08",399,"SINALOA"
"2021-04-12",407,"COAHUILA DE ZARAGOZA"
"2021-09-24",9044,"CIUDAD DE MÉXICO"
"2021-02-19",12124,"CIUDAD DE MÉXICO"
"2021-01-15",256,"CHIAPAS"
"2021-02-09",335,"MICHOACÁN DE OCAMPO"
"2021-02-24",12332,"CIUDAD DE MÉXICO"
"2021-06-24",108,"HIDALGO"
"2021-06-24",541,"TAMAULIPAS"
"2021-06-21",757,"TAMAULIPAS"
"2021-06-25",132,"AGUASCALIENTES"
"2021-06-16",403,"MICHOACÁN DE OCAMPO"
"2021-06-21",73,"ZACATECAS"
"2021-06-25",607,"NUEVO LEÓN"
"2021-06-28",142,"DURANGO"
"2021-06-20",374,"CAMPECHE"
"2021-06-25",52,"COLIMA"
"2021-06-28",529,"SAN LUIS POTOSÍ"
"2021-06-20",73,"NAYARIT"
"2021-06-24",74,"ZACATECAS"
"2021-06-19",662,"BAJA CALIFORNIA SUR"
"2021-06-20",232,"OAXACA"
"2021-06-21",109,"HIDALGO"
"2021-06-15",381,"COAHUILA DE ZARAGOZA"
"2021-06-26",187,"GUERRERO"
"2021-06-13",577,"NUEVO LEÓN"
"2021-06-01",220,"CHIHUAHUA"
"2021-05-10",5256,"CIUDAD DE MÉXICO"
"2021-05-21",274,"VERACRUZ DE IGNACIO DE LA LLAVE"
"2021-06-14",269,"CHIAPAS"
"2021-05-29",233,"VERACRUZ DE IGNACIO DE LA LLAVE"
"2021-06-15",415,"SINALOA"
"2021-06-17",468,"MICHOACÁN DE OCAMPO"
"2021-05-06",5853,"CIUDAD DE MÉXICO"
"2021-06-14",126,"DURANGO"
"2021-05-16",2890,"CIUDAD DE MÉXICO"
"2021-06-14",424,"SAN LUIS POTOSÍ"
